Informática 3;;;;;;
Hora;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;
7:00;;Geografia III;Sociologia III;Física II;Português III;abc
;;Alexandre;Rômulo Amorim;João Luiz;Erivan;
7:50;;Geografia III;Sociologia III;Física II;Português III;abc
;;Alexandre;Rômulo Amorim;João Luiz;Erivan;
8:40;;Metodologia da Pesquisa Científica;Biologia II;Química III;Matemática III;abc
;;Fernanda;Dayana;André;Cícero D;
9:30;INTERVALO;;;;;
;;;;;;
9:50;;Metodologia da Pesquisa Científica;Programação Orientada a Objetos;Química III;Educação Física III;abc
;;Fernanda;José Barros;André;Ramon;
10:40;;Sociologia III;Programação Orientada a Objetos;Sistemas Operacionais;Educação Física III;abc
;;Rômulo Amorim;José Barros;Nélio;Ramon;
11:30;;Sociologia III;Programação Orientada a Objetos;Sistemas Operacionais;Educação Física III;abc
;;Rômulo Amorim;José Barros;Nélio;Ramon;
12:20;ALMOÇO;;;;;
;;;;;;
13:00;;;;Matemática III;;abc
;;;;Cícero D;;
13:50;Biologia II;;;Matemática III;;abc
;Dayana;;;Cícero D;;
14:40;INTERVALO;;;;;
;;;;;;
15:00;Biologia II;;;Banco de Dados;;abc
;Dayana;;;José Barros;;
15:50;História II;;;Banco de Dados;;abc
;Divino;;;José Barros;;
16:40;História II;;;;;abc
;Divino;;;;;
17:30;JANTAR;;;;;
;;;;;;
18:00;;;;;;abc
;;;;;;
18:50;;;;;;abc
;;;;;;
19:40;;;;;;abc
;;;;;;
20:30;INTERVALO;;;;;
;;;;;;
20:40;;;;;;abc
;;;;;;
21:30;;;;;;abc
;;;;;;
