Informática 4;;;;;;
Hora;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;
7:00;;;;;;abc
;;;;;;
7:50;;;;;;abc
;;;;;;
8:40;;;;;;abc
;;;;;;
9:30;INTERVALO;;;;;
;;;;;;
9:50;;;;;;abc
;;;;;;
10:40;;;;;;abc
;;;;;;
11:30;;;;;;abc
;;;;;;
12:20;ALMOÇO;;;;;
;;;;;;
13:00;;Física III;Análise e Projeto de Sistemas;Português IV;Redes de Computadores;abc
;;Arquimedes;Fernanda;Erivan;Erick;
13:50;Filosofia IV;Física III;Análise e Projeto de Sistemas;Português IV;Redes de Computadores;abc
;Michel;Arquimedes;Fernanda;Erivan;Erick;
14:40;INTERVALO;;;;;
;;;;;;
15:00;Filosofia IV;História III;Desenvolvimento de Aplicações Web;Tópicos Especiais;Empreendedorismo;abc
;Michel;Divino;Moisés;Moisés;Cristiano;
15:50;Biologia III;História III;Desenvolvimento de Aplicações Web;Tópicos Especiais;Empreendedorismo;abc
;Dayana;Divino;Moisés;Moisés;Cristiano;
16:40;Biologia III;;Desenvolvimento de Aplicações Web;;;abc
;Dayana;;Moisés;;;
17:30;JANTAR;;;;;
;;;;;;
18:00;;;;;;abc
;;;;;;
18:50;;;;;;abc
;;;;;;
19:40;;;;;;abc
;;;;;;
20:30;INTERVALO;;;;;
;;;;;;
20:40;;;;;;abc
;;;;;;
21:30;;;;;;abc
;;;;;;
